,id,name,lat,lng,checkinsCount,tipCount,usersCount
82404,4f982708e4b0e6b5de8e2f6f,Platform 13,51.5039744199054,-0.08510112762451172,355,0,110
82408,4ce64449595cb1f7a43dbb14,The Calm Blue Room,51.50329323076107,-0.08497238159179688,7,0,2
82411,4af9a82df964a520fd1222e3,The Shard,51.50470234606946,-0.08682847023010254,10661,59,6138
82413,50eaab7be4b09d1aedafe264,The View from The Shard,51.5044953223804,-0.08661389350891113,2627,67,2500
82415,51d1a169498ecb3464e98056,Aqua Shard,51.50453856059706,-0.08687756684435137,964,32,814
82419,4b0fe3f8f964a520e56523e3,Starbucks,51.50436175821087,-0.08737564086914062,1890,5,1116
82420,5183ad6c498ec8f906fdebee,Oblix at The Shard,51.50465102315295,-0.08671261937164855,953,36,832
82429,4b6c5879f964a5205d322ce3,McDonald's,51.50445536202536,-0.08737752202312858,1021,5,673
82437,4cbc74de43ec6dcb4d1ab131,Guy's Hospital Chapel,51.5032483778467,-0.08609520855584878,13,0,12
82458,4b901e48f964a520b87633e3,All Bar One,51.50497615014911,-0.08694648742675781,1079,10,828
82469,4eef25228231688f203e80a5,Guy's Hospital Minor Injuries Unit,51.5034118086735,-0.08663923406866005,12,0,12
82479,4bb743871344b71346809e04,George Inn,51.5043484017724,-0.0898432731628418,4211,56,2852
